"country","iso2c","iso3c","year","SL.UEM.TOTL.ZS","SI.POV.GINI","NY.GDP.PCAP.PP.KD","SM.POP.NETM"
"Denmark","DK","DNK",1960,NA,NA,NA,-726
"Denmark","DK","DNK",1961,NA,NA,NA,-400
"Denmark","DK","DNK",1962,NA,NA,NA,152
"Denmark","DK","DNK",1963,NA,NA,NA,545
"Denmark","DK","DNK",1964,NA,NA,NA,1060
"Denmark","DK","DNK",1965,NA,NA,NA,1584
"Denmark","DK","DNK",1966,NA,NA,NA,2089
"Denmark","DK","DNK",1967,NA,NA,NA,2561
"Denmark","DK","DNK",1968,NA,NA,NA,2961
"Denmark","DK","DNK",1969,NA,NA,NA,3337
"Denmark","DK","DNK",1970,NA,NA,NA,3763
"Denmark","DK","DNK",1971,NA,NA,NA,4087
"Denmark","DK","DNK",1972,NA,NA,NA,4349
"Denmark","DK","DNK",1973,NA,NA,NA,4568
"Denmark","DK","DNK",1974,NA,NA,NA,4635
"Denmark","DK","DNK",1975,NA,NA,NA,4643
"Denmark","DK","DNK",1976,NA,NA,NA,4527
"Denmark","DK","DNK",1977,NA,NA,NA,4254
"Denmark","DK","DNK",1978,NA,NA,NA,3905
"Denmark","DK","DNK",1979,NA,NA,NA,3449
"Denmark","DK","DNK",1980,NA,NA,NA,2904
"Denmark","DK","DNK",1981,NA,NA,NA,2575
"Denmark","DK","DNK",1982,NA,NA,NA,2456
"Denmark","DK","DNK",1983,NA,NA,NA,2606
"Denmark","DK","DNK",1984,NA,NA,NA,2926
"Denmark","DK","DNK",1985,NA,NA,NA,3498
"Denmark","DK","DNK",1986,NA,NA,NA,4227
"Denmark","DK","DNK",1987,NA,26.2,NA,5265
